game_date,player_name,yellow_cards,min_yc
1986-09-27,Mark Hughes,1.0,
1986-09-27,Ronnie Moore,1.0,
1986-09-27,Andy Thorpe,1.0,
1986-10-11,Graham Bell,1.0,
1986-10-11,Ronnie Moore,1.0,
1986-10-11,Billy O'Rourke,1.0,
1986-10-11,Frank Worthington,1.0,
1987-02-14,Andy Thorpe,1.0,
1987-02-14,Johnny Morrissey,1.0,
1987-02-14,Steve Mungall,1.0,
1987-03-21,Alan Hay,1.0,
1987-03-21,Graham Bell,1.0,
1987-03-21,Steve Vickers,1.0,
1987-08-18,Dave Martindale,1.0,
1987-09-15,Steve Mungall,1.0,
1987-09-15,Mark McCarrick,1.0,
1988-08-29,Jim Steel,1.0,
1988-09-05,Ronnie Moore,1.0,
1988-09-05,Johnny Morrissey,1.0,
1988-11-12,Johnny Morrissey,1.0,
1988-11-12,Dave Higgins,1.0,
1989-02-18,Dave Higgins,1.0,
1990-02-06,Johnny Morrissey,1.0,
1990-02-06,Dave Higgins,1.0,
1990-02-17,Mark McCarrick,1.0,
1990-02-17,Neil McNab,1.0,
1990-04-16,Tony Thomas,1.0,
1990-04-23,Tony Thomas,1.0,
1990-05-05,Ian Muir,1.0,
1990-05-27,Shaun Garnett,1.0,
1990-05-27,Steve Vickers,1.0,
1990-09-01,Ian Muir,1.0,
1990-09-01,Jim Steel,1.0,
1990-12-29,Eric Nixon,1.0,
1990-12-29,Dave Higgins,1.0,
1991-02-26,Tony Thomas,1.0,
1991-02-26,Jim Steel,1.0,
1991-03-05,Tony Thomas,1.0,
1991-06-01,Chris Malkin,1.0,
1991-08-27,Kenny Irons,1.0,
1991-08-27,Tony Thomas,1.0,
1991-08-27,Dave Higgins,1.0,
1991-08-27,Neil McNab,1.0,
1991-10-04,Neil McNab,1.0,
1991-10-12,Ged Brannan,1.0,
1991-10-12,Dave Martindale,1.0,
1991-10-12,Kenny Irons,1.0,
1991-10-12,Steve Vickers,1.0,
1992-01-04,Kenny Irons,1.0,
1992-04-04,Jim Steel,1.0,
1992-04-04,Tony Thomas,1.0,
1993-01-02,Neil McNab,1.0,
1993-03-06,Ged Brannan,1.0,
1993-08-28,Dave Higgins,1.0,
1993-08-28,John Aldridge,1.0,
1993-08-28,Eric Nixon,1.0,
1994-02-05,Ian Nolan,1.0,
1994-02-05,Mark Hughes,1.0,
1994-02-05,Dave Higgins,1.0,
1994-02-23,John McGreal,1.0,
1994-04-12,John McGreal,1.0,
1994-04-12,Ged Brannan,1.0,
1995-02-11,Ged Brannan,1.0,
1995-02-11,Gary Jones,1.0,
1995-02-25,Tony Thomas,1.0,
1995-09-09,Shaun Teale,1.0,
1995-09-16,Ian Moore,1.0,
1995-09-16,Gary Bennett,1.0,
1995-09-23,Kenny Irons,1.0,
1995-09-23,Ged Brannan,1.0,
1995-09-30,Gary Stevens,1.0,
1995-10-07,Gary Stevens,1.0,
1995-11-08,Shaun Teale,1.0,
1995-11-19,Graham Branch,1.0,
1995-11-19,Gary Jones,1.0,
1995-11-19,Gary Bennett,1.0,
1995-11-19,John McGreal,1.0,
1995-11-22,Tony Thomas,1.0,
1995-11-25,Shaun Garnett,1.0,
1995-11-25,Tony Thomas,1.0,
1995-12-02,Tony Thomas,1.0,
1995-12-02,Shaun Garnett,1.0,
1995-12-09,Ian Moore,1.0,
1995-12-09,Shaun Teale,1.0,
1995-12-16,Danny Coyne,1.0,
1995-12-16,Ged Brannan,1.0,
1995-12-16,Shaun Teale,1.0,
1995-12-23,Gary Bennett,1.0,
1996-01-01,Gary Jones,1.0,
1996-01-20,Shaun Garnett,1.0,
1996-01-30,Ian Moore,1.0,
1996-02-03,Dave Higgins,1.0,
1996-02-10,Steve Mungall,1.0,
1996-02-17,Graham Branch,1.0,
1996-02-20,Shaun Garnett,1.0,
1996-02-20,Shaun Teale,1.0,
1996-02-24,Shaun Teale,1.0,
1996-03-16,Tony Thomas,1.0,
1996-03-23,Ian Moore,1.0,
1996-03-30,Alan Rogers,1.0,
1996-03-30,Shaun Teale,1.0,
1996-04-02,Shaun Teale,1.0,
1996-04-06,Alan Rogers,1.0,
1996-04-08,Ged Brannan,1.0,
1996-04-13,Johnny Morrissey,1.0,
1996-04-13,Gary Stevens,1.0,
1996-04-27,Paul Cook,1.0,
1996-04-27,Alan Morgan,1.0,
1996-04-30,John Aldridge,1.0,
1996-08-17,Ivano Bonetti,1.0,
1996-08-21,Paul Cook,1.0,
1996-08-23,Shaun Teale,1.0,
1996-08-31,Tony Thomas,1.0,
1996-08-31,Paul Cook,1.0,
1996-09-07,Graham Branch,1.0,
1996-09-07,Liam O'Brien,1.0,
1996-09-10,Liam O'Brien,1.0,
1996-09-10,Johnny Morrissey,1.0,
1996-09-14,John Aldridge,1.0,
1996-09-14,Kenny Irons,1.0,
1996-09-14,Paul Cook,1.0,
1996-09-17,Kenny Irons,1.0,
1996-09-17,Dave Higgins,1.0,
1996-09-21,Paul Cook,1.0,
1996-09-24,Ivano Bonetti,1.0,
1996-09-28,Ivano Bonetti,1.0,
1996-09-28,Graham Branch,1.0,
1996-09-28,Ged Brannan,1.0,
1996-09-28,Andy Thorn,1.0,
1996-09-28,John Aldridge,1.0,
1996-10-04,Andy Thorn,1.0,
1996-10-12,John Aldridge,1.0,
1996-10-12,Andy Thorn,1.0,
1996-10-12,Ivano Bonetti,1.0,
1996-10-15,Liam O'Brien,1.0,
1996-10-15,Andy Thorn,1.0,
1996-12-03,Ged Brannan,1.0,
1996-12-03,Alan Mahon,1.0,
1996-12-07,Liam O'Brien,1.0,
1996-12-26,Graham Branch,1.0,
1996-12-26,Pat Nevin,1.0,
1996-12-26,Shaun Teale,1.0,
1996-12-26,Ged Brannan,1.0,
1997-01-01,Liam O'Brien,1.0,
1997-01-01,Alan Mahon,1.0,
1997-01-14,Eric Nixon,1.0,
1997-01-14,John Aldridge,1.0,
1997-01-14,Tony Thomas,1.0,
1997-01-14,Graham Branch,1.0,
1997-01-18,Pat Nevin,1.0,
1997-01-18,Liam O'Brien,1.0,
1997-01-18,Dave Higgins,1.0,
1997-01-28,Ian Moore,1.0,
1997-02-01,Andy Thorn,1.0,
1997-02-01,Paul Cook,1.0,
1997-02-07,Paul Cook,1.0,
1997-02-07,Alan Rogers,1.0,
1997-02-07,Kenny Irons,1.0,
1997-02-07,Ian Moore,1.0,
1997-02-07,Pat Nevin,1.0,
1997-02-07,Andy Thorn,1.0,
1997-03-04,Ged Brannan,1.0,
1997-03-04,Andy Thorn,1.0,
1997-03-08,Gary Jones,1.0,
1997-03-15,Alan Rogers,1.0,
1997-03-18,Johnny Morrissey,1.0,
1997-03-22,John McGreal,1.0,
1997-03-22,Tony Thomas,1.0,
1997-03-28,Graham Branch,1.0,
1997-03-31,John McGreal,1.0,
1997-04-12,Tony Thomas,1.0,
1997-04-12,Eric Nixon,1.0,
1997-04-12,Graham Branch,1.0,
1997-04-19,Gary Jones,1.0,
1997-04-19,Kenny Irons,1.0,
1997-04-26,Johnny Morrissey,1.0,
1997-04-26,Gary Jones,1.0,
1997-04-26,Andy Thorn,1.0,
1997-04-26,Kenny Irons,1.0,
1997-05-04,Kenny Irons,1.0,
1997-05-04,John McGreal,1.0,
1997-08-09,Graham Branch,1.0,
1997-08-15,David Kelly,1.0,
1997-08-22,Andy Thorn,1.0,
1997-08-30,Johnny Morrissey,1.0,
1997-09-02,Liam O'Brien,1.0,
1997-09-07,Andy Thompson,1.0,
1997-09-13,Andy Thompson,1.0,
1997-09-13,David Kelly,1.0,
1997-09-16,Johnny Morrissey,1.0,
1997-09-16,Andy Thompson,1.0,
1997-09-23,Dave Challinor,1.0,
1997-10-04,Alan Mahon,1.0,
1997-10-04,Graham Branch,1.0,
1997-10-18,Alan Morgan,1.0,
1997-10-22,Johnny Morrissey,1.0,
1997-10-25,Kenny Irons,1.0,
1997-10-25,Johnny Morrissey,1.0,
1997-11-01,Gary Jones,1.0,
1997-11-01,Dave Challinor,1.0,
1997-11-01,John McGreal,1.0,
1997-11-04,Graham Branch,1.0,
1997-11-08,Alan Mahon,1.0,
1997-11-22,Johnny Morrissey,1.0,
1997-11-22,David Kelly,1.0,
1997-11-29,Kenny Irons,1.0,
1997-11-29,Liam O'Brien,1.0,
1997-11-29,John Aldridge,1.0,
1997-12-06,Lee Jones,1.0,
1997-12-06,Kenny Irons,1.0,
1997-12-06,Alan Morgan,1.0,
1997-12-13,Kenny Irons,1.0,
1997-12-13,Dave Challinor,1.0,
1997-12-20,John Aldridge,1.0,
1997-12-20,Andy Thorn,1.0,
1997-12-26,John McGreal,1.0,
1997-12-28,Andy Thorn,1.0,
1997-12-28,Alan Morgan,1.0,
1997-12-28,Andy Thompson,1.0,
1998-01-09,Kenny Irons,1.0,
1998-01-13,Kenny Irons,1.0,
1998-01-13,Andy Parkinson,1.0,
1998-01-24,Andy Parkinson,1.0,
1998-02-04,Stephen Frail,1.0,
1998-02-07,Johnny Morrissey,1.0,
1998-02-14,Clint Hill,1.0,
1998-02-14,Micky Mellon,1.0,
1998-02-14,John McGreal,1.0,
1998-02-18,Alan Morgan,1.0,
1998-02-18,Steve Simonsen,1.0,
1998-02-18,John McGreal,1.0,
1998-02-21,Clint Hill,1.0,
1998-02-21,Kenny Irons,1.0,
1998-02-28,Alan Morgan,1.0,
1998-03-14,Dave Challinor,1.0,
1998-03-14,Graham Branch,1.0,
1998-04-03,Johnny Morrissey,1.0,
1998-04-03,John McGreal,1.0,
1998-04-07,Dariusz Kubicki,1.0,
1998-04-07,Dave Challinor,1.0,
1998-04-11,Steve Simonsen,1.0,
1998-04-11,Alan Morgan,1.0,
1998-04-11,Dave Challinor,1.0,
1998-04-18,Dariusz Kubicki,1.0,
1998-04-18,Gary Jones,1.0,
1998-04-18,Micky Mellon,1.0,
1998-04-25,Clint Hill,1.0,
1998-08-08,Clint Hill,1.0,
1998-08-08,John McGreal,1.0,
1998-08-11,Georges Santos,1.0,
1998-08-15,Clint Hill,1.0,
1998-08-18,Clint Hill,1.0,
1998-08-18,Alan Mahon,1.0,
1998-08-18,Micky Mellon,1.0,
1998-08-29,Alan Morgan,1.0,
1998-09-08,Andy Thompson,1.0,
1998-09-11,Johnny Morrissey,1.0,
1998-09-15,Lee Jones,1.0,
1998-09-15,Jason Koumas,1.0,
1998-09-15,Clint Hill,1.0,
1998-09-19,Steve Simonsen,1.0,
1998-09-22,Clint Hill,1.0,
1998-09-29,Dave Challinor,1.0,
1998-09-29,Clint Hill,1.0,
1998-09-29,Johnny Morrissey,1.0,
1998-10-10,Scott Taylor,1.0,
1998-10-17,Johnny Morrissey,1.0,
1998-10-24,David Kelly,1.0,
1998-10-27,Georges Santos,1.0,
1998-10-27,Gary Jones,1.0,
1998-10-27,Jason Koumas,1.0,
1998-11-07,Georges Santos,1.0,
1998-11-07,Kenny Irons,1.0,
1998-11-07,Graham Allen,1.0,
1998-11-10,Graham Allen,1.0,
1998-11-10,Georges Santos,1.0,
1998-11-14,Clint Hill,1.0,
1998-11-28,Andy Thompson,1.0,
1998-11-28,Jason Koumas,1.0,
1998-11-28,Graham Allen,1.0,
1998-11-28,Clint Hill,1.0,
1998-12-05,Clint Hill,1.0,
1998-12-05,Dave Challinor,1.0,
1998-12-05,Graham Allen,1.0,
1998-12-08,Georges Santos,1.0,
1998-12-08,Dave Challinor,1.0,
1998-12-08,Alan Mahon,1.0,
1998-12-12,Georges Santos,1.0,
1998-12-12,Clint Hill,1.0,
1998-12-12,Jason Koumas,1.0,
1998-12-26,Georges Santos,1.0,
1998-12-28,Graham Allen,1.0,
1998-12-28,Clint Hill,1.0,
1999-01-02,Kenny Irons,1.0,
1999-01-08,Georges Santos,1.0,
1999-01-08,Kenny Irons,1.0,
1999-01-16,Andy Thompson,1.0,
1999-01-16,John McGreal,1.0,
1999-01-16,Alan Mahon,1.0,
1999-01-16,Dave Challinor,1.0,
1999-01-30,Georges Santos,1.0,
1999-01-30,Liam O'Brien,1.0,
1999-02-13,Georges Santos,1.0,
1999-02-20,Dave Challinor,1.0,
1999-02-20,Georges Santos,1.0,
1999-02-27,Gary Jones,1.0,
1999-03-03,Clint Hill,1.0,
1999-03-03,Graham Allen,1.0,
1999-03-03,Andy Parkinson,1.0,
1999-03-03,Andy Thompson,1.0,
1999-03-06,Liam O'Brien,1.0,
1999-03-06,Graham Allen,1.0,
1999-03-06,Scott Taylor,1.0,
1999-03-09,Andy Thompson,1.0,
1999-03-09,Andy Parkinson,1.0,
1999-03-13,Alan Mahon,1.0,
1999-03-20,Liam O'Brien,1.0,
1999-03-26,Georges Santos,1.0,
1999-04-03,Kenny Irons,1.0,
1999-04-03,Andy Thompson,1.0,
1999-04-03,John Achterberg,1.0,
1999-04-03,Dave Challinor,1.0,
1999-04-10,Clint Hill,1.0,
1999-04-10,Kenny Irons,1.0,
1999-04-17,Georges Santos,1.0,
1999-05-01,Alan Mahon,1.0,
1999-05-09,Graham Allen,1.0,
1999-05-09,Georges Santos,1.0,
1999-08-07,Nick Henry,1.0,
1999-08-07,Georges Santos,1.0,
1999-08-14,Gareth Roberts,1.0,
1999-08-14,Andy Parkinson,1.0,
1999-08-21,John Achterberg,1.0,
1999-08-21,Jason Koumas,1.0,
1999-08-21,David Kelly,1.0,
1999-08-21,Graham Allen,1.0,
1999-08-21,Andy Thompson,1.0,
1999-08-24,Jason Koumas,1.0,
1999-08-28,Alan Mahon,1.0,
1999-08-28,Clint Hill,1.0,
1999-08-28,Georges Santos,1.0,
1999-08-30,Clint Hill,1.0,
1999-08-30,David Kelly,1.0,
1999-09-11,Tony Grant,1.0,
1999-09-11,Georges Santos,1.0,
1999-09-14,Alan Morgan,1.0,
1999-09-14,David Kelly,1.0,
1999-09-22,Dave Challinor,1.0,
1999-09-22,Gareth Roberts,1.0,
1999-09-22,Graham Allen,1.0,
1999-09-22,Scott Taylor,1.0,
1999-09-25,Graham Allen,1.0,
1999-09-25,Clint Hill,1.0,
1999-09-25,John Achterberg,1.0,
1999-10-09,Nick Henry,1.0,
1999-10-09,Andy Parkinson,1.0,
1999-10-16,Dave Challinor,1.0,
1999-10-16,Joe Murphy,1.0,
1999-10-23,Dave Challinor,1.0,
1999-10-23,Gareth Roberts,1.0,
1999-10-23,Lee Jones,1.0,
1999-10-26,Nick Henry,1.0,
1999-10-26,Dave Challinor,1.0,
1999-11-12,Wayne Allison,1.0,
1999-11-12,Nick Henry,1.0,
1999-11-20,Scott Taylor,1.0,
1999-11-23,Gareth Roberts,1.0,
1999-11-23,Dave Challinor,1.0,
1999-11-23,Reuben Hazell,1.0,
1999-11-27,Alan Morgan,1.0,
1999-12-04,Gareth Roberts,1.0,
1999-12-04,Reuben Hazell,1.0,
1999-12-14,David Kelly,1.0,
1999-12-14,Alan Morgan,1.0,
1999-12-17,Gary Jones,1.0,
1999-12-17,Reuben Hazell,1.0,
1999-12-26,Jason Koumas,1.0,
1999-12-26,Nick Henry,1.0,
1999-12-28,Reuben Hazell,1.0,
2000-01-03,Dave Challinor,1.0,
2000-01-03,Alan Morgan,1.0,
2000-01-03,Clint Hill,1.0,
2000-01-08,Nick Henry,1.0,
2000-01-08,Clint Hill,1.0,
2000-01-08,Gary Jones,1.0,
2000-01-08,Gareth Roberts,1.0,
2000-01-12,Alan Morgan,1.0,
2000-01-12,Steve Yates,1.0,
2000-01-22,Graham Allen,1.0,
2000-01-26,Andy Thompson,1.0,
2000-01-29,David Kelly,1.0,
2000-01-29,Phil Babb,1.0,
2000-01-29,Nick Henry,1.0,
2000-01-29,Gary Jones,1.0,
2000-01-29,Andy Thompson,1.0,
2000-02-05,Alan Mahon,1.0,
2000-02-05,Nick Henry,1.0,
2000-02-11,Alan Morgan,1.0,
2000-02-20,Dave Challinor,1.0,
2000-02-27,Clint Hill,1.0,
2000-02-27,Dave Challinor,1.0,
2000-03-01,Jason Koumas,1.0,
2000-03-01,Scott Taylor,1.0,
2000-03-04,Alan Morgan,1.0,
2000-03-07,Wayne Allison,1.0,
2000-03-07,Gary Jones,1.0,
2000-03-07,Alan Mahon,1.0,
2000-03-11,Jason Koumas,1.0,
2000-03-18,Gary Jones,1.0,
2000-03-18,Nick Henry,1.0,
2000-03-18,Richard Hinds,1.0,
2000-03-22,Steve Yates,1.0,
2000-03-25,Joe Murphy,1.0,
2000-04-01,Alan Morgan,1.0,
2000-04-01,Gary Jones,1.0,
2000-04-01,Graham Allen,1.0,
2000-04-09,Dave Challinor,1.0,
2000-04-09,Gareth Roberts,1.0,
2000-04-15,Dave Challinor,1.0,
2000-04-15,Paul Aldridge,1.0,
2000-04-15,Gary Jones,1.0,
2000-04-18,Gareth Roberts,1.0,
2000-04-22,Clint Hill,1.0,
2000-04-22,Richard Hinds,1.0,
2000-04-29,Alan Mahon,1.0,
2000-04-29,Clint Hill,1.0,
2000-08-12,Sean Flynn,1.0,
2000-08-19,Paul Rideout,1.0,
2000-08-19,Nick Henry,1.0,
2000-08-19,Clint Hill,1.0,
2000-08-26,Scott Taylor,1.0,
2000-08-26,Wayne Gill,1.0,
2000-08-26,Gareth Roberts,1.0,
2000-08-26,Nick Henry,1.0,
2000-08-28,Clint Hill,1.0,
2000-09-01,Nick Henry,1.0,
2000-09-06,Wayne Gill,1.0,
2000-09-06,Richard Hinds,1.0,
2000-09-09,Clint Hill,1.0,
2000-09-09,Nick Henry,1.0,
2000-09-12,Sean Flynn,1.0,
2000-09-16,Richard Hinds,1.0,
2000-09-19,Wayne Gill,1.0,
2000-09-23,Clint Hill,1.0,
2000-09-23,Andy Parkinson,1.0,
2000-10-06,Clint Hill,1.0,
2000-10-14,Richard Hinds,1.0,
2000-10-14,Clint Hill,1.0,
2000-10-14,Dave Challinor,1.0,
2000-10-17,Clint Hill,1.0,
2000-10-25,Steve Yates,1.0,
2000-10-28,Scott Taylor,1.0,
2000-10-31,Richard Hinds,1.0,
2000-11-04,Gareth Roberts,1.0,
2000-11-11,Clint Hill,1.0,
2000-11-18,Clint Hill,1.0,
2000-11-18,Wayne Allison,1.0,
2000-11-25,Richard Hinds,1.0,
2000-11-25,Scott Taylor,1.0,
2000-11-25,Clint Hill,1.0,
2000-11-28,Gareth Roberts,1.0,
2000-11-28,Reuben Hazell,1.0,
2000-12-02,Jason Koumas,1.0,
2000-12-02,Gareth Roberts,1.0,
2000-12-16,Steve Yates,1.0,
2000-12-16,Reuben Hazell,1.0,
2000-12-16,Richard Hinds,1.0,
2000-12-16,Gareth Roberts,1.0,
2000-12-16,Graham Allen,1.0,
2000-12-23,Jason Koumas,1.0,
2000-12-23,Gareth Roberts,1.0,
2000-12-26,Steve Yates,1.0,
2001-01-01,John Achterberg,1.0,
2001-01-01,Sean Flynn,1.0,
2001-01-01,Clint Hill,1.0,
2001-01-01,Graham Allen,1.0,
2001-01-01,Jason Koumas,1.0,
2001-01-06,Richard Jobson,1.0,
2001-01-06,Sean Flynn,1.0,
2001-01-06,Gareth Roberts,1.0,
2001-01-06,Wayne Gill,1.0,
2001-01-06,Richard Hinds,1.0,
2001-01-06,Graham Allen,1.0,
2001-01-13,John Achterberg,1.0,
2001-01-27,Graham Allen,1.0,
2001-02-03,Clint Hill,1.0,
2001-02-03,Graham Allen,1.0,
2001-02-10,Clint Hill,1.0,
2001-02-13,Des Hamilton,1.0,
2001-02-13,Graham Allen,1.0,
2001-02-13,Clint Hill,1.0,
2001-02-17,Stuart Barlow,1.0,
2001-02-20,Stuart Barlow,1.0,
2001-03-06,Stuart Barlow,1.0,
2001-03-06,Jason Koumas,1.0,
2001-03-06,Nick Henry,1.0,
2001-03-06,Richard Jobson,1.0,
2001-03-06,Micky Mellon,1.0,
2001-03-11,Gareth Roberts,1.0,
2001-03-11,Graham Allen,1.0,
2001-03-11,Nick Henry,1.0,
2001-03-14,Micky Mellon,1.0,
2001-03-17,Steve Yates,1.0,
2001-03-17,Nick Henry,1.0,
2001-03-25,Jeff Kenna,1.0,
2001-03-25,Sean Flynn,1.0,
2001-03-25,Micky Mellon,1.0,
2001-04-07,Micky Mellon,1.0,
2001-04-07,Stuart Barlow,1.0,
2001-04-10,Richard Jobson,1.0,
2001-04-14,Simon Osborn,1.0,
2001-04-14,Graham Allen,1.0,
2001-04-14,Seyni N'Diaye,1.0,
2001-04-16,Jeff Kenna,1.0,
2001-04-16,Richard Jobson,1.0,
2001-04-21,Gareth Roberts,1.0,
2001-04-24,Simon Osborn,1.0,
2001-04-24,Gareth Roberts,1.0,
2001-04-24,Jason Koumas,1.0,
2001-04-28,Jeff Kenna,1.0,
2001-05-06,Alan Morgan,1.0,
2001-08-11,Nick Henry,1.0,
2001-08-11,Reuben Hazell,1.0,
2001-08-11,Dave Challinor,1.0,
2001-08-25,Nick Henry,1.0,
2001-08-25,Sean Flynn,1.0,
2001-08-25,Wayne Allison,1.0,
2001-08-27,Stuart Barlow,1.0,
2001-08-27,Jason Koumas,1.0,
2001-08-27,Micky Mellon,1.0,
2001-08-27,Steve Yates,1.0,
2001-09-01,Micky Mellon,1.0,
2001-09-01,Dave Challinor,1.0,
2001-09-01,Steve Yates,1.0,
2001-09-01,Sean Thornton,1.0,
2001-09-01,Reuben Hazell,1.0,
2001-09-11,Jason Koumas,1.0,
2001-09-11,Micky Mellon,1.0,
2001-09-15,Graham Allen,1.0,
2001-09-15,Micky Mellon,1.0,
2001-09-18,Graham Allen,1.0,
2001-09-18,Wayne Allison,1.0,
2001-09-18,Reuben Hazell,1.0,
2001-09-21,Ian Sharps,1.0,
2001-09-29,Nick Henry,1.0,
2001-10-04,Graham Allen,1.0,
2001-10-04,Ian Sharps,1.0,
2001-10-09,Micky Mellon,1.0,
2001-10-09,Nick Henry,1.0,
2001-10-09,Ian Sharps,1.0,
2001-10-13,Jason Koumas,1.0,
2001-10-13,Ian Sharps,1.0,
2001-10-20,Steve Yates,1.0,
2001-10-27,Paul Rideout,1.0,
2001-10-27,Gareth Roberts,1.0,
2001-10-27,Graham Allen,1.0,
2001-10-30,Micky Mellon,1.0,
2001-11-03,Jason Koumas,1.0,
2001-11-10,Nick Henry,1.0,
2001-11-17,Gareth Roberts,1.0,
2001-11-20,Jason Price,1.0,
2001-11-20,Sean Flynn,1.0,
2001-11-24,Steve Yates,1.0,
2001-12-01,Jason Price,1.0,
2001-12-01,Graham Allen,1.0,
2001-12-08,Gareth Roberts,1.0,
2001-12-08,Sean Thornton,1.0,
2001-12-08,Clint Hill,1.0,
2001-12-15,Jason Price,1.0,
2001-12-15,Jason Koumas,1.0,
2001-12-26,Jason Price,1.0,
2001-12-26,Gareth Roberts,1.0,
2001-12-26,Nick Henry,1.0,
2001-12-26,Clint Hill,1.0,
2001-12-29,Graham Allen,1.0,
2002-01-08,Sean Flynn,1.0,
2002-01-19,Micky Mellon,1.0,
2002-01-19,Sean Flynn,1.0,
2002-01-27,John Achterberg,1.0,
2002-02-02,Nick Henry,1.0,
2002-02-02,Gareth Roberts,1.0,
2002-02-02,Steve Yates,1.0,
2002-02-05,Alan Navarro,1.0,
2002-02-05,Ian Sharps,1.0,
2002-02-09,Stuart Barlow,1.0,
2002-02-09,Jason Koumas,1.0,
2002-02-09,Micky Mellon,1.0,
2002-02-12,Stuart Barlow,1.0,
2002-02-17,Ian Sharps,1.0,
2002-02-22,Nick Henry,1.0,
2002-02-26,Clint Hill,1.0,
2002-03-02,Simon Haworth,1.0,
2002-03-02,Jason Koumas,1.0,
2002-03-02,Stuart Barlow,1.0,
2002-03-02,Jason Price,1.0,
2002-03-09,Sean Thornton,1.0,
2002-03-09,Graham Allen,1.0,
2002-03-12,Gareth Roberts,1.0,
2002-03-12,Clint Hill,1.0,
